Always bear in mind that your own resolution to succeed is more important than any one thing. | Abraham Lincoln
Make the best use of what is in your power, and take the rest as it happens. | Epictetus
There is only one way to happiness and that is to cease worrying about things which are beyond the power of our will. | Epictetus
There is only one way to happiness and that is to cease worrying about things which are beyond the power or our will. | Epictetus
Nothing is so strong as gentleness. Nothing is so gentle as real strength. | Frances de Sales
You may be deceived if you trust too much, but you will live in torment if you don't trust enough. | Frank Crane
The thing always happens that you really believe in; and the belief in a thing makes it happen. | Frank Wright
I do not believe in a fate that falls on men however they act; but I do believe in a fate that falls on man unless they act. | G. K. Chesterton
Just trust yourself, then you will know how to live. | Goethe
Our kindness may be the most persuasive argument for that which we believe. | Gordon Hinckley
Our lives are the only meaningful expression of what we believe and in Whom we believe. And the only real wealth, for any of us, lies in our faith. | Gordon Hinckley
The happy and efficient people in this world are those who accept trouble as a normal detail of human life and resolve to capitalize it when it comes along. | H. Bertram Lewis
One needs something to believe in, something for which one can have whole-hearted enthusiasm. One needs to feel that ones life has meaning, that one is needed in this world. | Hannah Senesh
All serious daring starts from within. | Harriet Beecher Stowe
Everyone should carefully observe which way his heart draws him, and then choose that way with all his strength. | Hasidic saying
Keep yourself to the sunshine and you cannot see the shadow. | Helen Keller
Never bend your head. Always hold it high. Look the world right in the eye. | Helen Keller
The most beautiful things in the world cannot be seen or even touched. They must be felt with the heart. | Helen Keller
We could never learn to be brave and patient if there were only joy in the world. | Helen Keller
Face your deficiencies and acknowledge them; but do not let them master you. Let them teach you patience, sweetness, insight. | Helen Keller
No pessimist ever discovered the secrets of the stars, or sailed to an uncharted land, or opened a new heaven to the human spirit. | Helen Keller
The best and most beautiful things in the world cannot be seen, nor touched... but are felt in the heart. | Helen Keller
When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us. | Helen Keller
The eye sees only what the mind is prepared to comprehend. | Henri Bergson
When you doubt your power, you give power to your doubt. | Honore de Balzac
You must train your intuition you must trust the small voice inside you which tells you exactly what to say, what to decide. | Ingrid Bergman
You must train your intuition, you must trust the small voice inside you which tells you exactly what to say, what to decide. | Ingrid Bergman
If you take each challenge one step at a time, with faith in every footstep, your strength and understanding will increase. | James Faust
To free us from the expectations of others, to give us back to ourselves there lies the great, singular power of self-respect. | Joan Didion
To free us from the expectations of others, to give us back to ourselves - there lies the great, singular power of self-respect. | Joan Didion
Believe deep down in your heart that you're destined to do great things. | Joe Paterno
If you must tell me your opinions, tell me what you believe in. I have plenty of doubts of my own. | Johann Wolfgang von Goethe
Let us resolve to be masters, not the victims, of our history, controlling our own destiny without giving way to blind suspicions and emotions. | John Kennedy
Intuition will tell the thinking mind where to look next. | Jonas Salk
I believe in one thing only, the power of human will. | Joseph Stalin
Trust your hunches. They're usually based on facts filed away just below the conscious level. | Joyce Brothers
To understand the heart and mind of a person, look not at what he has already achieved, but at what he aspires to do. | Kahlil Gibran
If you correct your mind, the rest of your life will fall into place. | Lao Tzu
Silence is a source of great strength. | Lao Tzu
Kindness in words creates confidence. Kindness in thinking creates profoundness. Kindness in giving creates love. | Lao Tzu
The power of intuitive understanding will protect you from harm until the end of your days. | Lao Tzu
Iron rusts from disuse; water loses its purity from stagnation... even so does inaction sap the vigour of the mind. | Leonardo da Vinci
He who is fixed to a star does not change his mind. | Leonardo da Vinci
People may doubt what you say, but they will believe what you do. | Lewis Cass
Nobody will believe in you unless you believe in yourself. | Liberace
I can't believe that God put us on this earth to be ordinary. | Lou Holtz
Chance favors the prepared mind. | Louis Pasteur
