If you let go a little, you will have a little peace. If you let go a lot, you will have a lot of peace. | Ajahn Chah
To be wronged is nothing unless you continue to remember it. | Confucius
When you see a good person, think of becoming like him. When you see someone not so good, reflect on your own weak points. | Confucius
When you meet someone better than yourself, turn your thoughts to becoming his equal. When you meet someone not as good as you are, look within and examine your own self. | Confucius
Everything has beauty, but not everyone sees it. | Confucius
I want you to be everything that's you, deep at the center of your being. | Confucius
The Superior Man is aware of Righteousness, the inferior man is aware of advantage. | Confucius
Fine words and an insinuating appearance are seldom associated with true virtue | Confucius
Our greatest glory is not in never falling, but in rising every time we fall. | Confucius
Ability will never catch up with the demand for it. | Confucius
The superior man acts before he speaks, and afterwards speaks according to his action. | Confucius
Learning without reflection is a waste, reflection without learning is dangerous. | Confucius
If you look into your own heart, and you find nothing wrong there, what is there to worry about? What is there to fear? | Confucius
Sincerity is the way of Heaven. The attainment of sincerity is the way of men. | Confucius
He who wishes to secure the good of others, has already secured his own. | Confucius
Life is really simple, but we insist on making it complicated. | Confucius
Sleep is the best meditation. | Dalai Lama
If we have a positive mental attitude, then even when surrounded by hostility, we shall not lack inner peace. | Dalai Lama
Consider that not only do negative thoughts and emotions destroy our experience of peace, they also undermine our health. | Dalai Lama
There is no need for temples, no need for complicated philosophies. My brain and my heart are my temples; my philosophy is kindness. | Dalai Lama
The desire to create is one of the deepest yearnings of the human soul. | Dieter F. Uchtdorf
Until you make peace with who you are, you'll never be content with what you have. | Doris Mortman
Through meditation and by giving full attention to one thing at a time, we can learn to direct attention where we choose. | Eknath Easwaran
Freedom is the right to live as we wish. | Epictetus
Difficulties are things that show a person what they are. | Epictetus
If you wish to be a writer, write. | Epictetus
Practice yourself, for heavens sake in little things, and then proceed to greater. | Epictetus
Nature gave us one tongue and two ears so we could hear twice as much as we speak. | Epictetus
