The best thing about the future is that it only comes one day at a time. | Abraham Lincoln
I find hope in the darkest of days, and focus in the brightest. I do not judge the universe. | Dalai Lama
Give it all you've got because you never know if there's going to be a next time. | Danielle Ingrum
It's important to know that words don't move mountains. Work, exacting work moves mountains. | Danilo Dolci
A man of ability and the desire to accomplish something can do anything. | Donald Kircher
If only we'd stop trying to be happy we'd have a pretty good time. | Edith Wharton
Every action of our lives touches on some chord that will vibrate in eternity. | Edwin Chapin
Never mistake motion for action. | Ernest Hemingway
The true way to render ourselves happy is to love our work and find in it our pleasure. | Francoise de Motteville
If I know how you spend your time, then I know what might become of you. | Goethe
Think like a man of action; act like a man of thought. | Henri L. Bergson
Work while you have the light. You are responsible for the talent that has been entrusted to you. | Henri-Frederic Amiel
Trouble is only opportunity in work clothes. | Henry J. Kaiser
Be glad of life because it gives you the chance to love, to work, to play, and to look up at the stars. | Henry Van Dyke
If you focus on results, you will never change. If you focus on change, you will get results. | Jack Dixon
The most successful people are those who are good at plan B. | James Yorke
The day you decide to do it is your lucky day. | Japanese proverb
Vision without action is a daydream. Action without vision is a nightmare. | Japanese proverb
A leader or a man of action in a crisis almost always acts subconsciously and then thinks of the reasons for his action. | Jawaharlal Nehru
Those who make the worse use of their time are the first to complain of its shortness | Jean de la Bruyere
Sadness flies away on the wings of time. | Jean de la Fontaine
The self is not something ready-made, but something in continuous formation through choice of action. | John Dewey
Time you enjoy wasting, was not wasted. | John Lennon
Time you enjoyed wasting was not wasted. | John Lennon
A day of worry is more exhausting than a day of work. | John Lubbock
The two most powerful warriors are patience and time. | Leo Tolstoy
Time stays long enough for anyone who will use it. | Leonardo da Vinci
In rivers, the water that you touch is the last of what has passed and the first of that which comes; so with present time. | Leonardo da Vinci
Until you value yourself, you won't value your time. Until you value your time, you won't do anything with it. | M. Scott Peck
It is the quality of our work which will please God, not the quantity. | Mahatma Gandhi
There are basically two types of people. People who accomplish things, and people who claim to have accomplished things. The first group is less crowded. | Mark Twain
For every failure, there's an alternative course of action. You just have to find it. When you come to a roadblock, take a detour. | Mary Kay Ash
Love vanquishes time. To lovers, a moment can be eternity, eternity can be the tick of a clock. | Mary Parrish
All great achievements require time. | Maya Angelou
Nothing will work unless you do. | Maya Angelou
There is no greater harm than that of time wasted. | Michelangelo
Every time you smile at someone, it is an action of love, a gift to that person, a beautiful thing. | Mother Teresa
Do not wait for leaders; do it alone, person to person. | Mother Teresa
Take time to deliberate, but when the time for action has arrived, stop thinking and go in. | Napoleon Bonaparte
If you want a thing done well, do it yourself. | Napoleon Bonaparte
I am always doing that which I cannot do, in order that I may learn how to do it. | Pablo Picasso
I am always doing that which I can not do, in order that I may learn how to do it. | Pablo Picasso
The most dangerous way to lose time is not to spend it having fun, but to spend it doing fake work. When you spend time having fun, you know you're being self-indulgent. | Paul Graham
The secret of joy in work is contained in one word excellence. To know how to do something well is to enjoy it. | Pearl Buck
The secret of joy in work is contained in one word: excellence. To know how to do something well is to enjoy it. | Pearl Buck
Time is the wisest counsellor of all. | Pericles
Efficiency is doing things right; effectiveness is doing the right things. | Peter Drucker
Follow effective action with quiet reflection. From the quiet reflection will come even more effective action. | Peter Drucker
There is nothing so useless as doing efficiently that which should not be done at all. | Peter Drucker
You cannot predict the future, but you can create it. | Peter Drucker
Until we can manage time, we can manage nothing else. | Peter Drucker
Thought is the blossom; language the bud; action the fruit behind it. | Ralph Emerson
Nothing is a waste of time if you use the experience wisely. | Rodin
Everyone has been made for some particular work, and the desire for that work has been put in every heart. | Rumi
All action results from thought, so it is thoughts that matter. | Sai Baba
Action will remove the doubts that theory cannot solve. | Tehyi Hsieh
Time is the most valuable thing a man can spend. | Theophrastus
Opportunity is missed by most because it is dressed in overalls and looks like work. | Thomas Edison
Time changes everything except something within us which is always surprised by change. | Thomas Hardy
Do you want to know who you are? Don't ask. Act! Action will delineate and define you. | Thomas Jefferson
I'm a great believer in luck and I find the harder I work, the more I have of it. | Thomas Jefferson
Work for something because it is good, not just because it stands a chance to succeed. | Vaclav Havel
If you'll not settle for anything less than your best, you will be amazed at what you can accomplish in your lives. | Vince Lombardi
No matter how carefully you plan your goals they will never be more that pipe dreams unless you pursue them with gusto. | W. Clement Stone
When you discover your mission, you will feel its demand. It will fill you with enthusiasm and a burning desire to get to work on it. | W. Clement Stone
Nothing diminishes anxiety faster than action. | Walter Anderson
Tired minds don't plan well. Sleep first, plan later. | Walter Reisch
We are what we repeatedly do. Excellence, then, is not an act, but a habit. | Will Durant
